 0.3243  0.6955
 0.4581  0.5709
 0.7350  0.6399
 0.3140  0.6197
 0.3192  0.7040
 0.4652  0.5738
 0.8181  0.4667
 0.2492  0.6343
 0.5702  0.6127
 0.9638  0.4118
 0.7115  0.4812
 0.6755  0.6139
 0.4694  0.6656
 0.9946  0.1982
 0.7143  0.7013
 0.5505  0.6409
 0.6601  0.5208
 0.0485  0.6950
 0.4900  0.6829
 0.1571  0.6481
 0.0415  0.7144
 0.0614  0.7981
 0.4535  0.5935
 0.1492  0.7488
 0.4525  0.6178
 0.0287  0.9289
 0.3194  0.5785
 0.3355  0.5328
 0.4296  0.3964
 0.5238  0.3337
 0.3075  0.6403
 0.9693  0.3170
 0.7837  0.3579
 0.8627  0.4508
 0.1505  0.9422
 0.2781  0.6309
 0.6728  0.4888
 0.2548  0.7362
 0.1774  0.6096
 0.5775  0.5767
 0.0156  0.8994
 0.3537  0.6562
 0.2012  0.7957
 0.5175  0.4964
 0.7623  0.5847
 0.3822  0.4156
 0.8148  0.4657
 0.4430  0.5221
 0.0530  0.8710
 0.8869  0.4305
