From kanazawa@hoosegow.CS.Berkeley.EDU Thu May 25 11:13:53 1995
Received: from hoosegow.CS.Berkeley.EDU (hoosegow.CS.Berkeley.EDU [128.32.37.42]) by orodruin.CS.Berkeley.EDU (8.6.10/8.7.0.Beta0) with ESMTP id LAA24779 for <russell@orodruin.CS.Berkeley.EDU>; Thu, 25 May 1995 11:13:52 -0700
Received: from hoosegow.CS.Berkeley.EDU (localhost.Berkeley.EDU [127.0.0.1]) by hoosegow.CS.Berkeley.EDU (8.6.11/8.6.9) with ESMTP id LAA02208 for <russell@hoosegow.CS.Berkeley.EDU>; Thu, 25 May 1995 11:12:45 -0700
From: Keiji Kanazawa <kanazawa@CS.Berkeley.EDU>
Message-Id: <199505251812.LAA02208@hoosegow.CS.Berkeley.EDU>
To: russell@hoosegow.CS.Berkeley.EDU
Date: Thu, 25 May 1995 11:12:45 -0700
Status: R

# 50 runs  50 slices  1000 trials  absolute error
#
# Epoch     LW        LC        ER        SF        E/S
     0      0.002669  0.002907  0.004720  0.002727  0.004190
     1      0.005150  0.004676  0.004162  0.049007  0.004489
     2      0.006324  0.005479  0.004399  0.065297  0.005708
     3      0.013909  0.013284  0.004090  0.049320  0.006203
     4      0.029640  0.029383  0.006270  0.065755  0.006305
     5      0.032424  0.029642  0.005614  0.073267  0.004716
     6      0.061000  0.040323  0.007297  0.114754  0.007002
     7      0.093401  0.068612  0.005788  0.095189  0.007424
     8      0.078680  0.098212  0.006348  0.070362  0.010435
     9      0.105010  0.101639  0.006843  0.069892  0.008731
    10      0.115452  0.086117  0.006787  0.069477  0.008708
    11      0.181852  0.114521  0.008968  0.055484  0.008774
    12      0.183183  0.166942  0.008977  0.091509  0.006958
    13      0.178097  0.170448  0.009958  0.083331  0.011578
    14      0.186088  0.161845  0.010721  0.058858  0.011101
    15      0.195114  0.208309  0.011414  0.072457  0.018178
    16      0.168592  0.204813  0.011596  0.070999  0.009709
    17      0.196772  0.193699  0.012498  0.056579  0.008291
    18      0.232519  0.171065  0.010509  0.070877  0.006160
    19      0.192278  0.187930  0.012460  0.102779  0.005680
    20      0.200790  0.220563  0.014750  0.083117  0.007025
    21      0.259077  0.282592  0.012497  0.073187  0.007135
    22      0.297453  0.317663  0.016106  0.056925  0.011356
    23      0.328832  0.268134  0.017651  0.094644  0.007839
    24      0.306561  0.380218  0.012227  0.100995  0.007643
    25      0.388161  0.411474  0.013799  0.062752  0.006737
    26      0.418120  0.510899  0.015289  0.073209  0.006841
    27      0.472922  0.492602  0.013795  0.075272  0.006887
    28      0.437479  0.529356  0.013252  0.068296  0.004331
    29      0.487997  0.581144  0.017557  0.073498  0.005945
    30      0.615189  0.682403  0.015979  0.108625  0.007178
    31      0.630042  0.720474  0.018042  0.102195  0.006886
    32      0.532337  0.732924  0.018679  0.096966  0.010169
    33      0.717488  0.729785  0.018967  0.068474  0.006359
    34      0.816360  0.773917  0.018794  0.061604  0.005189
    35      0.896701  0.814366  0.021746  0.053641  0.005559
    36      0.868308  0.792807  0.021584  0.058508  0.005799
    37      0.937880  0.756150  0.022205  0.062947  0.006877
    38      0.900970  0.818530  0.029533  0.072541  0.007997
    39      0.877547  0.818107  0.025658  0.098701  0.006101
    40      0.956419  0.878066  0.022885  0.075666  0.006240
    41      0.949395  0.881522  0.026589  0.064355  0.007814
    42      0.931170  0.926991  0.021366  0.057029  0.004997
    43      0.940914  0.967016  0.022030  0.056010  0.005711
    44      0.960747  0.978337  0.024305  0.090836  0.004431
    45      0.968663  0.979559  0.026659  0.092725  0.005721
    46      0.931709  0.971354  0.030044  0.085002  0.005916
    47      0.989814  0.979583  0.026445  0.085454  0.005227
    48      0.970186  0.971211  0.023326  0.086665  0.005309
    49      0.988872  0.980373  0.033699  0.089282  0.008231
    50      0.970244  0.988626  0.026388  0.069983  0.005139

