1  0.49595967
2  0.48877555
3  0.49484533
4  0.6359375
5  0.671579
6  0.7718085
7  0.71505374
8  0.8103261
9  0.79560447
10  0.81444454
11  0.8438202
12  0.8482955
13  0.8873564
14  0.8784884
15  0.86235285
16  0.87261903
17  0.87349397
18  0.8506098
19  0.88086426
20  0.9018749
21  0.90316457
22  0.8942307
23  0.89415586
24  0.89736843
25  0.892
26  0.9114863
27  0.89178085
28  0.9076389
29  0.9253523
30  0.91285706
31  0.9318841
32  0.9286764
33  0.8880596
34  0.9174242
35  0.91384614
36  0.9265625
37  0.92619056
38  0.92338705
39  0.9213114
40  0.92749995
41  0.92203397
42  0.93103445
43  0.93596506
44  0.9294642
45  0.9136363
46  0.9453705
47  0.9452831
48  0.9259615
49  0.92745095
50  0.94099987
51  0.93265307
52  0.9197917
53  0.944681
54  0.9380435
55  0.9455555
56  0.9443182
57  0.9337209
58  0.9511906
59  0.93048775
60  0.9425
61  0.95384616
62  0.95263165
63  0.954054
64  0.9583333
65  0.9542856
66  0.9602941
67  0.9439394
68  0.9578125
69  0.9451612
70  0.9499998
71  0.9499999
72  0.9625001
73  0.97407407
74  0.9557692
75  0.956
76  0.9520833
77  0.9434784
78  0.9613636
79  0.9666668
80  0.9725
81  0.96052635
82  0.9722222
83  0.9676471
84  0.940625
85  0.9833333
86  0.9678572
87  0.97307694
88  0.9708335
89  0.9545454
90  0.9549999
91  0.9666667
92  0.9875
93  0.9714286
94  0.9333333
95  0.96999997
96  0.9375
97  1.0
98  0.95
99  1.0
