0.     0.1     0.2     0.4     0.2     0.1    
1.     0.     0.1     0.4     0.3     0.2    
2.     0.     3.84615400e-2 0.30769232     0.34615386     0.30769232    
3.     0.     1.315789500e-2 0.21052632     0.35526314     0.42105263    
4.     0.     4.132231500e-3 0.1322314     0.33471075     0.5289256    
5.     0.     1.2195121000e-3 7.80487800e-2 0.29634145     0.62439024    
6.     0.     3.44115640000e-4 4.4046800e-2 0.2508603     0.7047488    
7.     0.     9.40203100000e-5 2.4069199e-2 0.20562242     0.7702144    
8.     0.     2.509914000000e-5 1.2850760000e-2 0.16467547     0.8224487    
9.     0.     6.5884830000000e-6 6.746607000e-3 0.12968111     0.8635657    
10.     0.     1.7082746000000e-6 3.4985465000e-3 0.100871906     0.89562786    
